name,type,diameter_mm,length_mm,din,gost,strength_class,thread,coating,unit_erp,weight_g_per_piece,weight_source,price_supplier,unit_supplier,price_per_piece_rub,price_note,raw
Болт M8x16 DIN 931 ГОСТ 7798-70,Болт,8.0,16.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,5.54,справочник ГОСТ,203.83,кг,1.129218,расчёт: 203.83 руб/кг ÷ 180.5 шт/кг,"Болт  8х 16 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M8x16 DIN 933 ГОСТ 7798-70,Болт,8.0,16.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,5.54,справочник ГОСТ,267.18,кг,1.480177,расчёт: 267.18 руб/кг ÷ 180.5 шт/кг,"Болт  8х 16 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M8x18 DIN 933 ГОСТ 7798-70,Болт,8.0,18.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,,,289.82,кг,,,"Болт  8х 18 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M8x20 DIN 931 ГОСТ 7798-70,Болт,8.0,20.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,6.74,справочник ГОСТ,236.96,кг,1.59711,расчёт: 236.96 руб/кг ÷ 148.4 шт/кг,"Болт  8х 20 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M8x22 DIN 931 ГОСТ 7798-70,Болт,8.0,22.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,308,кг,,,"Болт  8х 22 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M8x25 DIN 931 ГОСТ 7798-70,Болт,8.0,25.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,8.35,справочник ГОСТ,246.4,кг,2.05744,расчёт: 246.4 руб/кг ÷ 119.8 шт/кг,"Болт  8х 25 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M8x25 DIN 933 ГОСТ 7798-70,Болт,8.0,25.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,8.35,справочник ГОСТ,267.76,кг,2.235796,расчёт: 267.76 руб/кг ÷ 119.8 шт/кг,"Болт  8х 25 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M8x30 DIN 933 ГОСТ 7798-70,Болт,8.0,30.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,9.96,справочник ГОСТ,305.11,кг,3.038896,расчёт: 305.11 руб/кг ÷ 100.4 шт/кг,"Болт  8х 30 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M8x35 DIN 931 ГОСТ 7798-70,Болт,8.0,35.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,11.57,справочник ГОСТ,231.06,кг,2.673364,расчёт: 231.06 руб/кг ÷ 86.4 шт/кг,"Болт  8х 35 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M8x35 DIN 933 ГОСТ 7798-70,Болт,8.0,35.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,11.57,справочник ГОСТ,247.02,кг,2.858021,расчёт: 247.02 руб/кг ÷ 86.4 шт/кг,"Болт  8х 35 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M8x40 DIN 931 ГОСТ 7798-70,Болт,8.0,40.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,13.18,справочник ГОСТ,275,кг,3.6245,расчёт: 275 руб/кг ÷ 75.9 шт/кг,"Болт  8х 40 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M8x40 DIN 933 ГОСТ 7798-70,Болт,8.0,40.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,13.18,справочник ГОСТ,308,кг,4.05944,расчёт: 308 руб/кг ÷ 75.9 шт/кг,"Болт  8х 40 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M8x50 DIN 933 ГОСТ 7798-70,Болт,8.0,50.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,16.4,справочник ГОСТ,248.52,кг,4.075728,расчёт: 248.52 руб/кг ÷ 61.0 шт/кг,"Болт  8х 50 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M8x60 DIN 931 ГОСТ 7798-70,Болт,8.0,60.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,19.62,справочник ГОСТ,270.6,кг,5.309172,расчёт: 270.6 руб/кг ÷ 51.0 шт/кг,"Болт  8х 60 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M8x60 DIN 933 ГОСТ 7798-70,Болт,8.0,60.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,19.62,справочник ГОСТ,308,кг,6.04296,расчёт: 308 руб/кг ÷ 51.0 шт/кг,"Болт  8х 60 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M8x65 DIN 931 ГОСТ 7798-70,Болт,8.0,65.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,21.23,справочник ГОСТ,446.75,кг,9.484502,расчёт: 446.75 руб/кг ÷ 47.1 шт/кг,"Болт  8х 65 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M8x75 DIN 933 ГОСТ 7798-70,Болт,8.0,75.0,DIN 933,ГОСТ 7798-70,8.8,полная,без покрытия,шт,24.45,справочник ГОСТ,257.4,кг,6.29343,расчёт: 257.4 руб/кг ÷ 40.9 шт/кг,"Болт  8х 75 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.8.8 резьба полная, Кг"
Болт M8x80 DIN 931 ГОСТ 7798-70,Болт,8.0,80.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,26.06,справочник ГОСТ,291.97,кг,7.608738,расчёт: 291.97 руб/кг ÷ 38.4 шт/кг,"Болт  8х 80 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M8x80 DIN 933 ГОСТ 7798-70,Болт,8.0,80.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,26.06,справочник ГОСТ,178.75,кг,4.658225,расчёт: 178.75 руб/кг ÷ 38.4 шт/кг,"Болт  8х 80 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M8x100 DIN 931 ГОСТ 7798-70,Болт,8.0,100.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,32.5,справочник ГОСТ,192.5,кг,6.25625,расчёт: 192.5 руб/кг ÷ 30.8 шт/кг,"Болт  8х100 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M8x95 DIN 931 ГОСТ 7798-70,Болт,8.0,95.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,201.43,кг,,,"Болт 8х 95 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M10x30 DIN 931 ГОСТ 7798-70,Болт,10.0,30.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,17.1,справочник ГОСТ,274.79,кг,4.698909,расчёт: 274.79 руб/кг ÷ 58.5 шт/кг,"Болт 10х 30 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M10x30 DIN 933 ГОСТ 7798-70,Болт,10.0,30.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,17.1,справочник ГОСТ,261.62,кг,4.473702,расчёт: 261.62 руб/кг ÷ 58.5 шт/кг,"Болт 10х 30 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M10x40 DIN 931 ГОСТ 7798-70,Болт,10.0,40.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,22.7,справочник ГОСТ,269.36,кг,6.114472,расчёт: 269.36 руб/кг ÷ 44.1 шт/кг,"Болт 10х 40 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M10x40 DIN 933 ГОСТ 7798-70,Болт,10.0,40.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,22.7,справочник ГОСТ,255.42,кг,5.798034,расчёт: 255.42 руб/кг ÷ 44.1 шт/кг,"Болт 10х 40 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M10x50 DIN 931 ГОСТ 7798-70,Болт,10.0,50.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,28.3,справочник ГОСТ,269.36,кг,7.622888,расчёт: 269.36 руб/кг ÷ 35.3 шт/кг,"Болт 10х 50 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M10x50 DIN 933 ГОСТ 7798-70,Болт,10.0,50.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,28.3,справочник ГОСТ,201.26,кг,5.695658,расчёт: 201.26 руб/кг ÷ 35.3 шт/кг,"Болт 10х 50 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M10x60 DIN 931 ГОСТ 7798-70,Болт,10.0,60.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,33.9,справочник ГОСТ,305.66,кг,10.361874,расчёт: 305.66 руб/кг ÷ 29.5 шт/кг,"Болт 10х 60 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M10x65 DIN 931 ГОСТ 7798-70,Болт,10.0,65.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,36.7,справочник ГОСТ,269.36,кг,9.885512,расчёт: 269.36 руб/кг ÷ 27.2 шт/кг,"Болт 10х 65 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M10x70 DIN 931 ГОСТ 7798-70,Болт,10.0,70.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,39.5,справочник ГОСТ,269.36,кг,10.63972,расчёт: 269.36 руб/кг ÷ 25.3 шт/кг,"Болт 10х 70 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M10x80 DIN 931 ГОСТ 7798-70,Болт,10.0,80.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,45.1,справочник ГОСТ,253.78,кг,11.445478,расчёт: 253.78 руб/кг ÷ 22.2 шт/кг,"Болт 10х 80 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M10x80 DIN 933 ГОСТ 7798-70,Болт,10.0,80.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,45.1,справочник ГОСТ,161.7,кг,7.29267,расчёт: 161.7 руб/кг ÷ 22.2 шт/кг,"Болт 10х 80 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M10x90 DIN 933 ГОСТ 7798-70,Болт,10.0,90.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,50.7,справочник ГОСТ,192.47,кг,9.758229,расчёт: 192.47 руб/кг ÷ 19.7 шт/кг,"Болт 10х 90 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M10x100 DIN 933 ГОСТ 7798-70,Болт,10.0,100.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,56.3,справочник ГОСТ,205.76,кг,11.584288,расчёт: 205.76 руб/кг ÷ 17.8 шт/кг,"Болт 10х100 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M10x140 DIN 931 ГОСТ 7798-70,Болт,10.0,140.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,,,286,кг,,,"Болт 10х140 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M12x20 DIN 931 ГОСТ 7798-70,Болт,12.0,20.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,228.8,кг,,,"Болт 12х 20 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M12x20 DIN 933 ГОСТ 7798-70,Болт,12.0,20.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,,,254.78,кг,,,"Болт 12х 20 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M12x30 DIN 933 ГОСТ 7798-70,Болт,12.0,30.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,29.7,справочник ГОСТ,290,кг,8.613,расчёт: 290 руб/кг ÷ 33.7 шт/кг,"Болт 12х 30 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M12x35 DIN 931 ГОСТ 7798-70,Болт,12.0,35.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,34.6,справочник ГОСТ,243.72,кг,8.432712,расчёт: 243.72 руб/кг ÷ 28.9 шт/кг,"Болт 12х 35 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M12x40 DIN 931 ГОСТ 7798-70,Болт,12.0,40.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,39.5,справочник ГОСТ,259.86,кг,10.26447,расчёт: 259.86 руб/кг ÷ 25.3 шт/кг,"Болт 12х 40 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M12x45 DIN 931 ГОСТ 7798-70,Болт,12.0,45.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,44.4,справочник ГОСТ,219.16,кг,9.730704,расчёт: 219.16 руб/кг ÷ 22.5 шт/кг,"Болт 12х 45 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M12x50 ГОСТ 7798-70,Болт,12.0,50.0,,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,49.3,справочник ГОСТ,207.93,кг,10.250949,расчёт: 207.93 руб/кг ÷ 20.3 шт/кг,"Болт 12х 50 без покрытия ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M12x55 DIN 931 ГОСТ 7798-70,Болт,12.0,55.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,54.2,справочник ГОСТ,236.1,кг,12.79662,расчёт: 236.1 руб/кг ÷ 18.5 шт/кг,"Болт 12х 55 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M12x60 DIN 931 ГОСТ 7798-70,Болт,12.0,60.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,59.1,справочник ГОСТ,268.25,кг,15.853575,расчёт: 268.25 руб/кг ÷ 16.9 шт/кг,"Болт 12х 60 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M12x60 DIN 933 ГОСТ 7798-70,Болт,12.0,60.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,59.1,справочник ГОСТ,271.84,кг,16.065744,расчёт: 271.84 руб/кг ÷ 16.9 шт/кг,"Болт 12х 60 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M12x65 DIN 931 ГОСТ 7798-70,Болт,12.0,65.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,64.0,справочник ГОСТ,243.1,кг,15.5584,расчёт: 243.1 руб/кг ÷ 15.6 шт/кг,"Болт 12х 65 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M12x75 DIN 931 ГОСТ 7798-70,Болт,12.0,75.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,73.8,справочник ГОСТ,286,кг,21.1068,расчёт: 286 руб/кг ÷ 13.6 шт/кг,"Болт 12х 75 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M12x75 DIN 933 ГОСТ 7798-70,Болт,12.0,75.0,DIN 933,ГОСТ 7798-70,8.8,полная,без покрытия,шт,73.8,справочник ГОСТ,257.4,кг,18.99612,расчёт: 257.4 руб/кг ÷ 13.6 шт/кг,"Болт 12х 75 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.8.8 резьба полная, Кг"
Болт M12x80 DIN 931 ГОСТ 7798-70,Болт,12.0,80.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,78.7,справочник ГОСТ,243.1,кг,19.13197,расчёт: 243.1 руб/кг ÷ 12.7 шт/кг,"Болт 12х 80 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M12x80 DIN 933 ГОСТ 7798-70,Болт,12.0,80.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,78.7,справочник ГОСТ,286,кг,22.5082,расчёт: 286 руб/кг ÷ 12.7 шт/кг,"Болт 12х 80 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M12x90 DIN 931 ГОСТ 7798-70,Болт,12.0,90.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,88.5,справочник ГОСТ,259.61,кг,22.975485,расчёт: 259.61 руб/кг ÷ 11.3 шт/кг,"Болт 12х 90 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M12x90 DIN 933 ГОСТ 7798-70,Болт,12.0,90.0,DIN 933,ГОСТ 7798-70,12.9,полная,без покрытия,шт,88.5,справочник ГОСТ,1234.53,кг,109.255905,расчёт: 1234.53 руб/кг ÷ 11.3 шт/кг,"Болт 12х 90 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.12.9 резьба полная, Кг"
Болт M12x100 DIN 931 ГОСТ 7798-70,Болт,12.0,100.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,98.3,справочник ГОСТ,238.11,кг,23.406213,расчёт: 238.11 руб/кг ÷ 10.2 шт/кг,"Болт 12х100 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M12x100 DIN 933 ГОСТ 7798-70,Болт,12.0,100.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,98.3,справочник ГОСТ,236.1,кг,23.20863,расчёт: 236.1 руб/кг ÷ 10.2 шт/кг,"Болт 12х100 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M12x150 DIN 931 ГОСТ 7798-70,Болт,12.0,150.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,147.3,справочник ГОСТ,256.27,кг,37.748571,расчёт: 256.27 руб/кг ÷ 6.8 шт/кг,"Болт 12х150 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M12x170 DIN 931 ГОСТ 7798-70,Болт,12.0,170.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,193,кг,,,"Болт 12х170 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M12x250 DIN 931 ГОСТ 7798-70,Болт,12.0,250.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,,,956.73,кг,,,"Болт 12х250 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M14x30 DIN 931 ГОСТ 7798-70,Болт,14.0,30.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,47.0,справочник ГОСТ,242.55,кг,11.39985,расчёт: 242.55 руб/кг ÷ 21.3 шт/кг,"Болт 14х 30 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M14x40 DIN 933 ГОСТ 7798-70,Болт,14.0,40.0,DIN 933,ГОСТ 7798-70,8.8,полная,без покрытия,шт,62.4,справочник ГОСТ,411.79,кг,25.695696,расчёт: 411.79 руб/кг ÷ 16.0 шт/кг,"Болт 14х 40 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.8.8 резьба полная, Кг"
Болт M14x50 DIN 931 ГОСТ 7798-70,Болт,14.0,50.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,77.8,справочник ГОСТ,319,кг,24.8182,расчёт: 319 руб/кг ÷ 12.9 шт/кг,"Болт 14х 50 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M14x60 DIN 931 ГОСТ 7798-70,Болт,14.0,60.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,93.2,справочник ГОСТ,251.31,кг,23.422092,расчёт: 251.31 руб/кг ÷ 10.7 шт/кг,"Болт 14х 60 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M14x60 DIN 933 ГОСТ 7798-70,Болт,14.0,60.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,93.2,справочник ГОСТ,235.76,кг,21.972832,расчёт: 235.76 руб/кг ÷ 10.7 шт/кг,"Болт 14х 60 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M14x65 DIN 931 ГОСТ 7798-70,Болт,14.0,65.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,100.9,справочник ГОСТ,444.68,кг,44.868212,расчёт: 444.68 руб/кг ÷ 9.9 шт/кг,"Болт 14х 65 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M14x70 DIN 931 ГОСТ 7798-70,Болт,14.0,70.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,108.6,справочник ГОСТ,246.5,кг,26.7699,расчёт: 246.5 руб/кг ÷ 9.2 шт/кг,"Болт 14х 70 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M14x70 DIN 933 ГОСТ 7798-70,Болт,14.0,70.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,108.6,справочник ГОСТ,262.66,кг,28.524876,расчёт: 262.66 руб/кг ÷ 9.2 шт/кг,"Болт 14х 70 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M14x80 DIN 931 ГОСТ 7798-70,Болт,14.0,80.0,DIN 931,ГОСТ 7798-70,5.8,полная,без покрытия,шт,124.0,справочник ГОСТ,209.04,кг,25.92096,расчёт: 209.04 руб/кг ÷ 8.1 шт/кг,"Болт 14х 80 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M14x80 DIN 933 ГОСТ 7798-70,Болт,14.0,80.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,124.0,справочник ГОСТ,264.08,кг,32.74592,расчёт: 264.08 руб/кг ÷ 8.1 шт/кг,"Болт 14х 80 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
